"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~4세","2025년10월_계_5~9세","2025년10월_계_10~14세","2025년10월_계_15~19세","2025년10월_계_20~24세","2025년10월_계_25~29세","2025년10월_계_30~34세","2025년10월_계_35~39세","2025년10월_계_40~44세","2025년10월_계_45~49세","2025년10월_계_50~54세","2025년10월_계_55~59세","2025년10월_계_60~64세","2025년10월_계_65~69세","2025년10월_계_70~74세","2025년10월_계_75~79세","2025년10월_계_80~84세","2025년10월_계_85~89세","2025년10월_계_90~94세","2025년10월_계_95~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~4세","2025년10월_남_5~9세","2025년10월_남_10~14세","2025년10월_남_15~19세","2025년10월_남_20~24세","2025년10월_남_25~29세","2025년10월_남_30~34세","2025년10월_남_35~39세","2025년10월_남_40~44세","2025년10월_남_45~49세","2025년10월_남_50~54세","2025년10월_남_55~59세","2025년10월_남_60~64세","2025년10월_남_65~69세","2025년10월_남_70~74세","2025년10월_남_75~79세","2025년10월_남_80~84세","2025년10월_남_85~89세","2025년10월_남_90~94세","2025년10월_남_95~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~4세","2025년10월_여_5~9세","2025년10월_여_10~14세","2025년10월_여_15~19세","2025년10월_여_20~24세","2025년10월_여_25~29세","2025년10월_여_30~34세","2025년10월_여_35~39세","2025년10월_여_40~44세","2025년10월_여_45~49세","2025년10월_여_50~54세","2025년10월_여_55~59세","2025년10월_여_60~64세","2025년10월_여_65~69세","2025년10월_여_70~74세","2025년10월_여_75~79세","2025년10월_여_80~84세","2025년10월_여_85~89세","2025년10월_여_90~94세","2025년10월_여_95~99세","2025년10월_여_100세 이상"
"전국  (0000000000)","51,143,421","51,143,421","1,252,663","1,730,371","2,307,168","2,323,153","2,479,485","3,254,278","3,524,425","3,140,671","3,719,512","3,884,892","4,319,157","4,336,927","4,120,425","3,771,437","2,604,571","1,862,407","1,351,791","791,762","294,713","64,705","8,908","25,451,723","25,451,723","641,734","887,024","1,182,484","1,195,069","1,284,832","1,693,402","1,857,380","1,627,614","1,899,260","1,970,506","2,187,485","2,178,590","2,056,420","1,836,753","1,225,229","837,711","539,513","262,977","74,308","11,930","1,502","25,691,698","25,691,698","610,929","843,347","1,124,684","1,128,084","1,194,653","1,560,876","1,667,045","1,513,057","1,820,252","1,914,386","2,131,672","2,158,337","2,064,005","1,934,684","1,379,342","1,024,696","812,278","528,785","220,405","52,775","7,406"
"서울특별시  (1100000000)","9,313,532","9,313,532","201,925","261,836","348,640","371,089","500,792","766,832","808,307","651,025","686,033","682,315","750,697","722,416","673,123","645,204","470,334","348,880","241,147","127,114","44,068","10,277","1,478","4,489,067","4,489,067","103,381","134,597","178,811","188,666","233,432","359,903","404,008","325,563","340,717","335,239","370,289","354,429","324,441","300,647","214,491","154,499","102,689","47,654","12,979","2,313","319","4,824,465","4,824,465","98,544","127,239","169,829","182,423","267,360","406,929","404,299","325,462","345,316","347,076","380,408","367,987","348,682","344,557","255,843","194,381","138,458","79,460","31,089","7,964","1,159"
"부산광역시  (2600000000)","3,246,304","3,246,304","69,922","101,647","135,507","128,845","152,508","190,000","204,444","183,933","225,164","236,861","260,401","270,689","273,368","279,847","210,873","148,679","100,353","52,205","17,054","3,566","438","1,578,085","1,578,085","35,929","51,972","69,456","65,931","77,536","97,035","106,222","94,505","114,179","119,542","129,322","131,399","129,534","130,081","96,181","65,503","40,894","17,910","4,258","644","52","1,668,219","1,668,219","33,993","49,675","66,051","62,914","74,972","92,965","98,222","89,428","110,985","117,319","131,079","139,290","143,834","149,766","114,692","83,176","59,459","34,295","12,796","2,922","386"
"대구광역시  (2700000000)","2,355,677","2,355,677","54,329","81,095","106,877","106,077","116,589","139,591","149,739","135,219","161,633","175,637","203,119","210,480","200,186","178,304","128,889","90,486","64,877","36,917","12,930","2,415","288","1,154,160","1,154,160","27,888","41,667","54,642","54,662","61,077","73,149","79,824","72,214","81,153","86,878","99,328","102,475","96,411","84,489","58,011","39,209","25,128","12,143","3,367","400","45","1,201,517","1,201,517","26,441","39,428","52,235","51,415","55,512","66,442","69,915","63,005","80,480","88,759","103,791","108,005","103,775","93,815","70,878","51,277","39,749","24,774","9,563","2,015","243"
"인천광역시  (2800000000)","3,049,315","3,049,315","82,635","107,592","138,629","137,079","144,381","196,225","226,666","203,582","235,912","238,685","257,931","258,458","252,580","218,450","136,086","94,481","64,502","37,110","14,294","3,490","547","1,523,210","1,523,210","42,341","55,231","71,024","70,213","74,187","101,559","119,046","105,650","121,998","122,617","130,609","127,374","125,358","106,893","64,523","42,785","25,744","11,962","3,367","631","98","1,526,105","1,526,105","40,294","52,361","67,605","66,866","70,194","94,666","107,620","97,932","113,914","116,068","127,322","131,084","127,222","111,557","71,563","51,696","38,758","25,148","10,927","2,859","449"
"광주광역시  (2900000000)","1,395,869","1,395,869","34,758","52,289","70,814","73,446","78,550","94,330","94,257","79,565","102,545","111,569","123,479","118,244","102,754","90,511","61,002","47,931","33,253","18,163","6,686","1,532","191","688,690","688,690","17,676","26,677","36,462","37,883","40,950","49,302","49,478","40,884","51,694","55,225","61,317","58,455","50,133","42,598","27,602","20,748","13,420","6,197","1,690","276","23","707,179","707,179","17,082","25,612","34,352","35,563","37,600","45,028","44,779","38,681","50,851","56,344","62,162","59,789","52,621","47,913","33,400","27,183","19,833","11,966","4,996","1,256","168"
"대전광역시  (3000000000)","1,442,046","1,442,046","37,951","49,373","66,467","69,450","84,084","105,190","105,469","88,852","101,375","108,656","122,277","120,606","109,364","98,885","67,035","46,628","32,974","18,565","7,074","1,547","224","718,579","718,579","19,617","25,327","34,183","35,603","43,279","55,492","56,346","47,090","51,299","53,888","61,083","60,117","53,693","47,385","31,302","21,001","13,344","6,341","1,865","287","37","723,467","723,467","18,334","24,046","32,284","33,847","40,805","49,698","49,123","41,762","50,076","54,768","61,194","60,489","55,671","51,500","35,733","25,627","19,630","12,224","5,209","1,260","187"
"울산광역시  (3100000000)","1,092,797","1,092,797","27,189","40,985","55,909","53,700","47,185","64,771","70,814","65,838","82,071","87,505","95,570","103,763","96,979","81,555","52,468","31,938","19,827","10,230","3,673","730","97","563,285","563,285","13,933","20,997","28,773","28,146","26,916","37,799","39,728","35,708","42,570","45,453","47,924","51,967","49,849","40,505","25,536","15,224","8,087","3,211","836","114","9","529,512","529,512","13,256","19,988","27,136","25,554","20,269","26,972","31,086","30,130","39,501","42,052","47,646","51,796","47,130","41,050","26,932","16,714","11,740","7,019","2,837","616","88"
"세종특별자치시  (3600000000)","392,406","392,406","15,748","23,331","28,890","25,081","17,325","19,371","27,403","30,750","38,618","38,027","33,395","25,464","21,316","18,098","11,736","7,621","5,226","3,179","1,437","346","44","195,359","195,359","7,953","11,921","14,793","12,527","9,101","9,574","13,577","15,223","18,727","18,821","17,493","13,195","10,784","8,836","5,698","3,575","2,118","1,043","331","64","5","197,047","197,047","7,795","11,410","14,097","12,554","8,224","9,797","13,826","15,527","19,891","19,206","15,902","12,269","10,532","9,262","6,038","4,046","3,108","2,136","1,106","282","39"
"경기도  (4100000000)","13,724,652","13,724,652","383,706","512,403","666,783","660,484","673,586","896,783","1,002,646","917,513","1,080,460","1,107,184","1,199,273","1,159,255","1,056,267","899,014","575,526","399,329","287,599","167,423","62,937","14,411","2,070","6,893,167","6,893,167","196,770","262,012","340,453","338,105","349,448","472,079","531,159","475,061","554,345","562,385","606,345","579,903","531,462","444,589","274,036","180,315","116,960","57,701","16,779","2,844","416","6,831,485","6,831,485","186,936","250,391","326,330","322,379","324,138","424,704","471,487","442,452","526,115","544,799","592,928","579,352","524,805","454,425","301,490","219,014","170,639","109,722","46,158","11,567","1,654"
