"행정구역","2025년10월_계_총인구수","2025년10월_계_연령구간인구수","2025년10월_계_0~4세","2025년10월_계_5~9세","2025년10월_계_10~14세","2025년10월_계_15~19세","2025년10월_계_20~24세","2025년10월_계_25~29세","2025년10월_계_30~34세","2025년10월_계_35~39세","2025년10월_계_40~44세","2025년10월_계_45~49세","2025년10월_계_50~54세","2025년10월_계_55~59세","2025년10월_계_60~64세","2025년10월_계_65~69세","2025년10월_계_70~74세","2025년10월_계_75~79세","2025년10월_계_80~84세","2025년10월_계_85~89세","2025년10월_계_90~94세","2025년10월_계_95~99세","2025년10월_계_100세 이상","2025년10월_남_총인구수","2025년10월_남_연령구간인구수","2025년10월_남_0~4세","2025년10월_남_5~9세","2025년10월_남_10~14세","2025년10월_남_15~19세","2025년10월_남_20~24세","2025년10월_남_25~29세","2025년10월_남_30~34세","2025년10월_남_35~39세","2025년10월_남_40~44세","2025년10월_남_45~49세","2025년10월_남_50~54세","2025년10월_남_55~59세","2025년10월_남_60~64세","2025년10월_남_65~69세","2025년10월_남_70~74세","2025년10월_남_75~79세","2025년10월_남_80~84세","2025년10월_남_85~89세","2025년10월_남_90~94세","2025년10월_남_95~99세","2025년10월_남_100세 이상","2025년10월_여_총인구수","2025년10월_여_연령구간인구수","2025년10월_여_0~4세","2025년10월_여_5~9세","2025년10월_여_10~14세","2025년10월_여_15~19세","2025년10월_여_20~24세","2025년10월_여_25~29세","2025년10월_여_30~34세","2025년10월_여_35~39세","2025년10월_여_40~44세","2025년10월_여_45~49세","2025년10월_여_50~54세","2025년10월_여_55~59세","2025년10월_여_60~64세","2025년10월_여_65~69세","2025년10월_여_70~74세","2025년10월_여_75~79세","2025년10월_여_80~84세","2025년10월_여_85~89세","2025년10월_여_90~94세","2025년10월_여_95~99세","2025년10월_여_100세 이상"
"서울특별시  (1100000000)","9,313,532","9,313,532","201,925","261,836","348,640","371,089","500,792","766,832","808,307","651,025","686,033","682,315","750,697","722,416","673,123","645,204","470,334","348,880","241,147","127,114","44,068","10,277","1,478","4,489,067","4,489,067","103,381","134,597","178,811","188,666","233,432","359,903","404,008","325,563","340,717","335,239","370,289","354,429","324,441","300,647","214,491","154,499","102,689","47,654","12,979","2,313","319","4,824,465","4,824,465","98,544","127,239","169,829","182,423","267,360","406,929","404,299","325,462","345,316","347,076","380,408","367,987","348,682","344,557","255,843","194,381","138,458","79,460","31,089","7,964","1,159"
"서울특별시 종로구 (1111000000)","137,449","137,449","2,188","2,964","4,239","5,036","8,101","12,280","11,447","8,412","9,113","9,183","11,198","11,724","11,108","9,856","7,052","5,410","4,332","2,571","972","226","37","65,925","65,925","1,135","1,505","2,069","2,466","3,645","5,833","5,777","4,102","4,446","4,364","5,522","5,720","5,620","4,848","3,379","2,362","1,755","991","317","56","13","71,524","71,524","1,053","1,459","2,170","2,570","4,456","6,447","5,670","4,310","4,667","4,819","5,676","6,004","5,488","5,008","3,673","3,048","2,577","1,580","655","170","24"
"서울특별시 종로구 청운효자동(1111051500)","10,961","10,961","224","299","477","535","526","773","812","699","834","892","980","883","755","669","512","411","366","209","87","15","3","4,962","4,962","113","158","250","249","281","355","370","310","365","386","469","385","340","291","227","151","143","89","23","4","3","5,999","5,999","111","141","227","286","245","418","442","389","469","506","511","498","415","378","285","260","223","120","64","11","0"
"서울특별시 종로구 사직동(1111053000)","8,915","8,915","149","221","310","288","404","640","810","622","713","669","723","739","674","603","396","339","291","206","85","26","7","3,922","3,922","75","110","143","122","162","282","370","266","297","285","313","340","318","273","171","133","126","89","32","11","4","4,993","4,993","74","111","167","166","242","358","440","356","416","384","410","399","356","330","225","206","165","117","53","15","3"
"서울특별시 종로구 삼청동(1111054000)","2,122","2,122","31","38","72","85","75","142","139","133","151","141","164","159","181","179","140","117","92","52","26","5","0","1,014","1,014","17","16","34","54","44","77","63","59","64","79","75","77","86","83","63","57","37","21","8","0","0","1,108","1,108","14","22","38","31","31","65","76","74","87","62","89","82","95","96","77","60","55","31","18","5","0"
"서울특별시 종로구 부암동(1111055000)","8,960","8,960","125","214","344","406","445","582","660","530","636","667","800","801","711","663","451","374","280","177","69","21","4","4,194","4,194","71","110","179","222","224","298","327","246","287","301","373","340","328","308","203","161","127","62","24","3","0","4,766","4,766","54","104","165","184","221","284","333","284","349","366","427","461","383","355","248","213","153","115","45","18","4"
"서울특별시 종로구 평창동(1111056000)","17,097","17,097","355","517","744","781","813","969","1,028","971","1,198","1,206","1,452","1,545","1,514","1,342","912","656","497","373","181","33","10","7,921","7,921","188","280","376","384","398","471","506","443","544","528","662","664","714","627","431","297","194","145","59","8","2","9,176","9,176","167","237","368","397","415","498","522","528","654","678","790","881","800","715","481","359","303","228","122","25","8"
"서울특별시 종로구 무악동(1111057000)","7,706","7,706","179","292","421","437","414","392","375","396","599","624","740","632","613","498","380","277","232","149","50","6","0","3,519","3,519","89","128","171","188","200","160","186","176","285","280","370","330","289","225","166","116","84","55","20","1","0","4,187","4,187","90","164","250","249","214","232","189","220","314","344","370","302","324","273","214","161","148","94","30","5","0"
"서울특별시 종로구 교남동(1111058000)","9,468","9,468","259","366","346","410","428","629","696","692","796","798","894","776","600","568","425","347","237","143","48","10","0","4,323","4,323","127","172","158","196","200","293","307","309","371","371","438","362","291","242","185","134","93","57","14","3","0","5,145","5,145","132","194","188","214","228","336","389","383","425","427","456","414","309","326","240","213","144","86","34","7","0"
"서울특별시 종로구 가회동(1111060000)","3,653","3,653","53","77","141","150","137","199","290","219","269","301","319","324","278","259","208","174","145","76","25","8","1","1,697","1,697","32","52","70","78","65","91","136","104","127","135","150","152","131","118","95","75","48","29","9","0","0","1,956","1,956","21","25","71","72","72","108","154","115","142","166","169","172","147","141","113","99","97","47","16","8","1"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,641","6,641","73","72","105","115","250","631","602","441","409","408","497","556","631","636","470","312","265","114","39","12","3","4,004","4,004","39","44","51","67","117","317","361","251","240","247","315","383","435","427","308","193","138","48","20","1","2","2,637","2,637","34","28","54","48","133","314","241","190","169","161","182","173","196","209","162","119","127","66","19","11","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,321","5,321","50","90","88","110","331","741","661","326","312","277","343","427","437","373","238","217","181","84","27","8","0","2,751","2,751","26","48","34","51","143","323","353","177","182","158","186","244","253","213","130","99","89","31","10","1","0","2,570","2,570","24","42","54","59","188","418","308","149","130","119","157","183","184","160","108","118","92","53","17","7","0"
"서울특별시 종로구 이화동(1111064000)","7,089","7,089","63","85","140","188","489","1,070","810","470","430","370","464","516","522","439","358","258","216","143","50","8","0","3,270","3,270","24","43","70","93","192","460","401","239","206","188","228","246","255","201","161","111","82","54","12","4","0","3,819","3,819","39","42","70","95","297","610","409","231","224","182","236","270","267","238","197","147","134","89","38","4","0"
"서울특별시 종로구 혜화동(1111065000)","15,772","15,772","178","263","456","696","2,083","2,162","1,268","800","856","947","1,170","1,130","953","766","607","527","494","284","106","19","7","7,554","7,554","97","123","224","352","898","1,178","676","408","432","434","562","544","447","372","268","199","195","108","32","4","1","8,218","8,218","81","140","232","344","1,185","984","592","392","424","513","608","586","506","394","339","328","299","176","74","15","6"
"서울특별시 종로구 창신제1동(1111067000)","4,444","4,444","57","44","62","85","174","349","362","248","214","235","312","449","509","508","322","220","157","106","26","5","0","2,340","2,340","31","20","32","49","83","182","197","139","134","116","158","232","298","284","168","105","64","41","7","0","0","2,104","2,104","26","24","30","36","91","167","165","109","80","119","154","217","211","224","154","115","93","65","19","5","0"
"서울특별시 종로구 창신제2동(1111068000)","7,176","7,176","68","71","110","169","273","508","525","361","360","374","655","852","847","707","482","355","263","139","43","13","1","3,692","3,692","32","37","61","85","135","271","301","213","211","203","340","439","454","362","227","160","87","52","15","6","1","3,484","3,484","36","34","49","84","138","237","224","148","149","171","315","413","393","345","255","195","176","87","28","7","0"
"서울특별시 종로구 창신제3동(1111069000)","6,153","6,153","120","127","160","231","284","414","523","388","388","360","515","604","580","525","339","243","201","98","39","14","0","3,012","3,012","58","69","78","109","135","224","283","200","207","165","236","299","283","268","164","106","82","26","15","5","0","3,141","3,141","62","58","82","122","149","190","240","188","181","195","279","305","297","257","175","137","119","72","24","9","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,721","5,721","85","97","145","169","251","439","452","343","389","398","500","535","542","459","339","252","181","100","31","13","1","2,779","2,779","46","49","74","85","116","206","240","175","195","208","262","256","280","201","169","109","69","34","4","1","0","2,942","2,942","39","48","71","84","135","233","212","168","194","190","238","279","262","258","170","143","112","66","27","12","1"
"서울특별시 종로구 숭인제2동(1111071000)","10,250","10,250","119","91","118","181","724","1,640","1,434","773","559","516","670","796","761","662","473","331","234","118","40","10","0","4,971","4,971","70","46","64","82","252","645","700","387","299","280","385","427","418","353","243","156","97","50","13","4","0","5,279","5,279","49","45","54","99","472","995","734","386","260","236","285","369","343","309","230","175","137","68","27","6","0"
"서울특별시 중구 (1114000000)","118,331","118,331","2,499","2,506","2,725","3,101","5,769","10,131","11,848","9,389","8,564","7,602","8,705","9,297","9,086","8,889","6,430","4,927","3,733","2,117","789","204","20","56,829","56,829","1,272","1,289","1,388","1,508","2,617","4,463","5,823","4,725","4,271","3,851","4,294","4,746","4,541","4,359","3,044","2,146","1,495","731","211","48","7","61,502","61,502","1,227","1,217","1,337","1,593","3,152","5,668","6,025","4,664","4,293","3,751","4,411","4,551","4,545","4,530","3,386","2,781","2,238","1,386","578","156","13"
"서울특별시 중구 소공동(1114052000)","2,177","2,177","69","76","88","67","68","138","185","221","300","251","183","150","96","106","67","51","31","22","6","2","0","998","998","36","38","32","25","28","42","80","104","141","117","94","75","51","49","32","26","18","7","2","1","0","1,179","1,179","33","38","56","42","40","96","105","117","159","134","89","75","45","57","35","25","13","15","4","1","0"
"서울특별시 중구 회현동(1114054000)","4,208","4,208","68","60","93","110","142","240","288","257","238","231","338","383","408","444","354","227","169","96","42","19","1","2,167","2,167","26","36","54","53","77","110","146","120","111","120","165","220","230","257","195","107","80","40","14","6","0","2,041","2,041","42","24","39","57","65","130","142","137","127","111","173","163","178","187","159","120","89","56","28","13","1"
"서울특별시 중구 명동(1114055000)","2,491","2,491","26","24","39","70","102","200","182","136","149","167","218","224","211","245","180","125","107","51","28","7","0","1,021","1,021","14","15","23","27","33","93","93","63","63","74","91","96","85","91","71","41","31","12","4","1","0","1,470","1,470","12","9","16","43","69","107","89","73","86","93","127","128","126","154","109","84","76","39","24","6","0"
"서울특별시 중구 필동(1114057000)","4,314","4,314","69","55","90","109","365","463","467","385","293","240","268","299","249","323","219","159","128","73","41","17","2","2,209","2,209","32","27","46","54","194","221","248","191","162","125","146","180","143","156","117","68","53","34","8","4","0","2,105","2,105","37","28","44","55","171","242","219","194","131","115","122","119","106","167","102","91","75","39","33","13","2"
