"행정구역","2025년11월_계_총인구수","2025년11월_계_연령구간인구수","2025년11월_계_0~4세","2025년11월_계_5~9세","2025년11월_계_10~14세","2025년11월_계_15~19세","2025년11월_계_20~24세","2025년11월_계_25~29세","2025년11월_계_30~34세","2025년11월_계_35~39세","2025년11월_계_40~44세","2025년11월_계_45~49세","2025년11월_계_50~54세","2025년11월_계_55~59세","2025년11월_계_60~64세","2025년11월_계_65~69세","2025년11월_계_70~74세","2025년11월_계_75~79세","2025년11월_계_80~84세","2025년11월_계_85~89세","2025년11월_계_90~94세","2025년11월_계_95~99세","2025년11월_계_100세 이상","2025년11월_남_총인구수","2025년11월_남_연령구간인구수","2025년11월_남_0~4세","2025년11월_남_5~9세","2025년11월_남_10~14세","2025년11월_남_15~19세","2025년11월_남_20~24세","2025년11월_남_25~29세","2025년11월_남_30~34세","2025년11월_남_35~39세","2025년11월_남_40~44세","2025년11월_남_45~49세","2025년11월_남_50~54세","2025년11월_남_55~59세","2025년11월_남_60~64세","2025년11월_남_65~69세","2025년11월_남_70~74세","2025년11월_남_75~79세","2025년11월_남_80~84세","2025년11월_남_85~89세","2025년11월_남_90~94세","2025년11월_남_95~99세","2025년11월_남_100세 이상","2025년11월_여_총인구수","2025년11월_여_연령구간인구수","2025년11월_여_0~4세","2025년11월_여_5~9세","2025년11월_여_10~14세","2025년11월_여_15~19세","2025년11월_여_20~24세","2025년11월_여_25~29세","2025년11월_여_30~34세","2025년11월_여_35~39세","2025년11월_여_40~44세","2025년11월_여_45~49세","2025년11월_여_50~54세","2025년11월_여_55~59세","2025년11월_여_60~64세","2025년11월_여_65~69세","2025년11월_여_70~74세","2025년11월_여_75~79세","2025년11월_여_80~84세","2025년11월_여_85~89세","2025년11월_여_90~94세","2025년11월_여_95~99세","2025년11월_여_100세 이상"
"서울특별시  (1100000000)","9,305,678","9,305,678","202,008","259,748","347,323","371,287","495,983","765,218","809,803","650,969","683,975","683,154","747,619","723,034","671,198","646,855","472,622","350,444","240,687","127,480","44,499","10,335","1,437","4,484,604","4,484,604","103,364","133,615","178,046","188,963","231,065","358,799","404,498","325,737","339,632","335,679","368,624","354,741","323,740","301,274","215,483","155,213","102,435","47,844","13,226","2,321","305","4,821,074","4,821,074","98,644","126,133","169,277","182,324","264,918","406,419","405,305","325,232","344,343","347,475","378,995","368,293","347,458","345,581","257,139","195,231","138,252","79,636","31,273","8,014","1,132"
"서울특별시 종로구 (1111000000)","137,246","137,246","2,187","2,920","4,198","5,044","8,046","12,263","11,441","8,425","9,077","9,180","11,113","11,730","11,047","9,940","7,084","5,420","4,310","2,581","972","232","36","65,805","65,805","1,126","1,478","2,049","2,476","3,600","5,824","5,789","4,106","4,429","4,352","5,454","5,739","5,604","4,902","3,385","2,367","1,728","1,006","321","58","12","71,441","71,441","1,061","1,442","2,149","2,568","4,446","6,439","5,652","4,319","4,648","4,828","5,659","5,991","5,443","5,038","3,699","3,053","2,582","1,575","651","174","24"
"서울특별시 중구 (1114000000)","118,108","118,108","2,504","2,515","2,719","3,091","5,723","10,064","11,838","9,406","8,543","7,636","8,637","9,253","9,019","8,897","6,466","4,947","3,722","2,113","790","205","20","56,703","56,703","1,263","1,290","1,388","1,506","2,595","4,435","5,815","4,741","4,268","3,857","4,257","4,720","4,506","4,351","3,053","2,174","1,493","725","212","47","7","61,405","61,405","1,241","1,225","1,331","1,585","3,128","5,629","6,023","4,665","4,275","3,779","4,380","4,533","4,513","4,546","3,413","2,773","2,229","1,388","578","158","13"
"서울특별시 용산구 (1117000000)","202,145","202,145","4,686","5,164","5,995","6,632","9,977","16,725","20,816","16,411","15,294","13,801","15,911","16,016","14,865","13,415","9,268","6,910","5,281","3,358","1,276","294","50","96,205","96,205","2,373","2,602","3,092","3,331","4,294","7,593","10,123","8,056","7,733","6,636","7,631","7,849","7,330","6,471","4,289","2,987","2,113","1,187","417","79","19","105,940","105,940","2,313","2,562","2,903","3,301","5,683","9,132","10,693","8,355","7,561","7,165","8,280","8,167","7,535","6,944","4,979","3,923","3,168","2,171","859","215","31"
"서울특별시 성동구 (1120000000)","274,550","274,550","7,736","7,904","8,246","8,957","15,197","22,865","25,660","22,437","21,085","18,511","21,168","21,665","20,045","18,423","12,613","9,567","7,015","3,868","1,272","285","31","132,581","132,581","3,973","4,106","4,111","4,408","7,050","11,063","12,558","11,071","10,752","9,131","10,170","10,740","9,948","8,888","5,830","4,155","2,857","1,347","359","56","8","141,969","141,969","3,763","3,798","4,135","4,549","8,147","11,802","13,102","11,366","10,333","9,380","10,998","10,925","10,097","9,535","6,783","5,412","4,158","2,521","913","229","23"
"서울특별시 광진구 (1121500000)","331,475","331,475","5,874","7,688","10,721","12,132","20,257","34,842","33,259","23,554","23,186","22,887","25,381","25,820","23,736","22,136","15,304","11,092","7,688","4,095","1,456","323","44","158,635","158,635","3,002","3,931","5,468","6,075","9,073","16,130","16,462","11,731","11,320","11,192","12,379","12,448","11,595","10,425","7,003","4,982","3,293","1,611","429","73","13","172,840","172,840","2,872","3,757","5,253","6,057","11,184","18,712","16,797","11,823","11,866","11,695","13,002","13,372","12,141","11,711","8,301","6,110","4,395","2,484","1,027","250","31"
"서울특별시 동대문구 (1123000000)","344,207","344,207","8,093","9,191","10,744","11,845","24,238","30,880","29,176","23,875","24,504","22,962","25,941","26,169","24,417","24,101","17,611","13,279","9,888","5,175","1,706","359","53","167,845","167,845","4,159","4,610","5,506","5,950","10,707","15,062","14,778","12,260","12,516","11,726","13,131","13,151","12,182","11,552","8,125","5,810","4,083","1,917","521","87","12","176,362","176,362","3,934","4,581","5,238","5,895","13,531","15,818","14,398","11,615","11,988","11,236","12,810","13,018","12,235","12,549","9,486","7,469","5,805","3,258","1,185","272","41"
"서울특별시 중랑구 (1126000000)","376,998","376,998","7,813","8,898","11,098","11,980","16,866","28,249","32,926","25,739","25,736","25,230","29,094","32,791","32,969","31,216","22,001","15,713","10,866","5,496","1,828","428","61","184,127","184,127","3,959","4,522","5,728","6,156","7,975","13,281","16,532","13,332","13,388","13,190","14,555","15,926","16,108","14,994","10,303","6,938","4,566","2,069","508","86","11","192,871","192,871","3,854","4,376","5,370","5,824","8,891","14,968","16,394","12,407","12,348","12,040","14,539","16,865","16,861","16,222","11,698","8,775","6,300","3,427","1,320","342","50"
"서울특별시 성북구 (1129000000)","423,313","423,313","9,288","12,268","15,879","18,013","29,912","32,994","30,277","26,663","29,752","30,276","36,214","34,657","30,004","28,735","20,830","16,136","12,068","6,555","2,204","517","71","202,278","202,278","4,814","6,295","8,118","9,025","13,297","15,973","15,195","13,279","14,835","14,763","17,609","17,158","14,350","13,261","9,426","6,783","4,946","2,371","651","115","14","221,035","221,035","4,474","5,973","7,761","8,988","16,615","17,021","15,082","13,384","14,917","15,513","18,605","17,499","15,654","15,474","11,404","9,353","7,122","4,184","1,553","402","57"
"서울특별시 강북구 (1130500000)","279,210","279,210","3,974","5,665","8,132","9,731","14,789","19,651","19,311","15,050","17,380","18,971","23,879","24,745","23,959","23,731","17,829","14,256","10,712","5,418","1,602","383","42","134,265","134,265","1,978","2,922","4,204","4,901","6,472","9,457","10,016","7,998","9,142","9,735","12,048","12,041","11,593","11,068","7,913","5,919","4,294","1,971","509","79","5","144,945","144,945","1,996","2,743","3,928","4,830","8,317","10,194","9,295","7,052","8,238","9,236","11,831","12,704","12,366","12,663","9,916","8,337","6,418","3,447","1,093","304","37"
"서울특별시 도봉구 (1132000000)","300,311","300,311","4,993","6,898","9,950","11,313","14,256","19,266","20,434","16,882","19,369","20,394","25,063","27,129","26,409","26,757","19,136","13,837","10,219","5,628","1,880","428","70","144,931","144,931","2,571","3,593","5,186","5,841","6,865","9,547","10,493","8,659","9,880","10,123","12,199","12,911","12,448","12,439","8,930","6,240","4,295","2,069","538","92","12","155,380","155,380","2,422","3,305","4,764","5,472","7,391","9,719","9,941","8,223","9,489","10,271","12,864","14,218","13,961","14,318","10,206","7,597","5,924","3,559","1,342","336","58"
"서울특별시 노원구 (1135000000)","484,759","484,759","9,987","13,026","20,219","24,135","29,987","31,597","32,409","28,652","32,618","36,630","43,142","41,038","36,846","35,642","25,938","18,685","13,263","7,464","2,735","656","90","231,876","231,876","5,142","6,664","10,459","12,528","14,858","16,054","16,328","14,463","15,811","17,361","20,533","19,902","17,361","16,194","11,748","7,946","5,137","2,511","723","137","16","252,883","252,883","4,845","6,362","9,760","11,607","15,129","15,543","16,081","14,189","16,807","19,269","22,609","21,136","19,485","19,448","14,190","10,739","8,126","4,953","2,012","519","74"
"서울특별시 은평구 (1138000000)","455,929","455,929","9,096","11,401","15,675","17,996","22,261","34,085","37,149","29,551","31,875","33,097","38,844","37,843","35,043","34,050","24,680","19,052","13,762","7,478","2,401","520","70","215,517","215,517","4,755","5,789","7,995","9,141","10,675","15,404","17,861","14,655","15,885","16,185","18,716","18,110","16,446","15,612","10,874","8,046","5,683","2,781","766","121","17","240,412","240,412","4,341","5,612","7,680","8,855","11,586","18,681","19,288","14,896","15,990","16,912","20,128","19,733","18,597","18,438","13,806","11,006","8,079","4,697","1,635","399","53"
"서울특별시 서대문구 (1141000000)","300,609","300,609","6,752","8,517","10,474","11,251","19,490","25,769","24,508","20,439","21,507","20,711","24,020","23,742","21,658","20,149","14,218","11,350","8,750","5,152","1,692","401","59","142,075","142,075","3,457","4,360","5,210","5,590","8,394","12,166","12,127","9,996","10,672","10,150","11,660","11,546","10,281","9,390","6,428","4,675","3,476","1,855","541","91","10","158,534","158,534","3,295","4,157","5,264","5,661","11,096","13,603","12,381","10,443","10,835","10,561","12,360","12,196","11,377","10,759","7,790","6,675","5,274","3,297","1,151","310","49"
