year,month,day,happiness,uneasiness,sadness,wariness,anger
2024,1,1,5,3,2,1,0
2024,1,2,3,3,1,2,0
2024,1,3,2,1,2,1,1
2024,1,4,2,2,3,0,0
2024,1,5,5,1,2,1,0
2024,1,6,4,3,3,1,1
2024,1,7,5,2,3,2,1
2024,1,8,5,2,1,2,1
2024,1,9,4,1,3,1,1
2024,1,10,4,1,2,1,0
2024,1,11,5,3,2,1,1
2024,1,12,3,3,1,2,0
2024,1,13,3,1,2,2,1
2024,1,14,2,1,3,0,1
2024,1,15,5,2,3,1,1
2024,1,16,4,2,3,2,1
2024,1,17,5,3,3,0,0
2024,1,18,4,2,3,1,1
2024,1,19,4,2,1,1,0
2024,1,20,4,3,2,2,0
2024,1,21,4,3,3,2,0
2024,1,22,2,2,3,1,1
2024,1,23,3,1,3,0,0
2024,1,24,4,1,2,2,0
2024,1,25,2,1,3,1,0
2024,1,26,5,3,3,0,0
2024,1,27,2,3,2,1,0
2024,1,28,2,2,3,2,1
2024,1,29,5,3,3,1,1
2024,1,30,5,3,1,0,1
2024,1,31,2,2,2,0,1
2024,2,1,4,3,2,0,0
2024,2,2,4,2,3,2,1
2024,2,3,5,2,1,0,0
2024,2,4,2,2,3,1,1
2024,2,5,5,1,2,2,1
2024,2,6,3,3,2,0,0
2024,2,7,5,1,1,0,1
2024,2,8,2,3,1,0,0
2024,2,9,3,2,2,2,1
2024,2,10,5,1,2,0,1
2024,2,11,3,1,1,0,0
2024,2,12,5,3,2,1,0
2024,2,13,3,3,2,0,0
2024,2,14,4,2,3,1,1
2024,2,15,3,2,2,0,0
2024,2,16,4,1,2,2,1
2024,2,17,5,1,2,0,1
2024,2,18,5,3,3,1,1
2024,2,19,5,1,1,1,0
2024,2,20,5,2,3,2,0
2024,2,21,4,2,2,2,0
2024,2,22,3,1,3,1,0
2024,2,23,4,1,1,1,1
2024,2,24,4,1,3,0,1
2024,2,25,4,3,1,2,1
2024,2,26,3,1,1,2,0
2024,2,27,5,2,1,1,1
2024,2,28,3,2,3,2,1
2024,2,29,4,3,1,2,1
2024,3,1,6,0,2,2,1
2024,3,2,5,0,1,2,0
2024,3,3,4,0,0,3,0
2024,3,4,4,0,1,1,0
2024,3,5,3,2,1,2,0
2024,3,6,5,2,2,1,1
2024,3,7,6,1,1,1,0
2024,3,8,5,2,1,0,0
2024,3,9,5,1,0,0,0
2024,3,10,3,1,1,1,0
2024,3,11,3,1,2,1,0
2024,3,12,3,1,0,1,1
2024,3,13,4,0,1,3,0
2024,3,14,4,0,0,1,0
2024,3,15,5,2,2,2,0
2024,3,16,3,2,2,3,1
2024,3,17,4,2,2,2,0
2024,3,18,3,1,2,1,0
2024,3,19,5,0,0,2,1
2024,3,20,4,1,2,2,1
2024,3,21,3,0,2,1,1
2024,3,22,3,0,2,2,1
2024,3,23,3,2,2,2,0
2024,3,24,5,0,2,1,1
2024,3,25,3,0,1,1,1
2024,3,26,5,2,2,2,1
2024,3,27,5,0,1,2,1
2024,3,28,3,0,1,1,0
2024,3,29,4,2,0,1,0
2024,3,30,5,2,1,2,0
2024,3,31,5,1,0,0,1
2024,4,1,5,0,2,3,0
2024,4,2,4,1,0,0,1
2024,4,3,4,0,0,1,0
2024,4,4,3,0,1,2,1
2024,4,5,4,0,1,3,1
2024,4,6,5,0,2,3,1
2024,4,7,4,2,2,2,0
2024,4,8,5,1,1,2,0
2024,4,9,6,0,0,2,0
2024,4,10,4,0,0,1,1
2024,4,11,4,1,1,0,1
2024,4,12,5,0,2,1,1
2024,4,13,3,0,0,3,1
2024,4,14,6,0,2,2,1
2024,4,15,3,2,2,1,0
2024,4,16,6,2,0,1,0
2024,4,17,4,2,2,0,0
2024,4,18,3,1,1,3,1
2024,4,19,6,2,0,2,1
2024,4,20,3,0,1,1,0
2024,4,21,3,1,2,0,0
2024,4,22,6,0,0,0,0
2024,4,23,4,1,0,3,1
2024,4,24,6,0,1,2,0
2024,4,25,5,1,1,2,1
2024,4,26,3,1,1,0,0
2024,4,27,3,2,0,0,1
2024,4,28,3,2,2,1,0
2024,4,29,6,0,1,2,1
2024,4,30,3,1,1,2,1
2024,5,1,6,2,2,1,0
2024,5,2,5,2,0,1,1
2024,5,3,3,0,2,1,0
2024,5,4,5,2,0,0,1
2024,5,5,3,0,0,2,0
2024,5,6,5,0,1,0,0
2024,5,7,6,1,0,1,0
2024,5,8,4,0,2,3,1
2024,5,9,6,2,2,1,0
2024,5,10,3,1,1,1,1
2024,5,11,5,1,0,2,0
2024,5,12,4,1,1,2,1
2024,5,13,3,0,2,3,1
2024,5,14,5,0,0,1,1
2024,5,15,6,1,1,2,1
2024,5,16,6,2,2,0,0
2024,5,17,3,1,0,2,0
2024,5,18,5,0,1,1,0
2024,5,19,6,2,1,2,0
2024,5,20,3,2,0,2,1
2024,5,21,4,0,2,1,0
2024,5,22,4,1,1,0,1
2024,5,23,6,0,0,3,0
2024,5,24,3,2,1,2,0
2024,5,25,4,2,2,2,0
2024,5,26,5,1,2,2,1
2024,5,27,6,1,1,0,1
2024,5,28,4,0,2,2,0
2024,5,29,4,1,2,3,0
2024,5,30,3,2,0,0,1
2024,5,31,6,1,0,0,0
